|Callsign|Frequency|Service|Channel|Directional Antenna (DA) or NonDirectional (ND)|Hours of Operation for this record - Daytime, Nighttime, or Unlimited|FM Station Class|International Station Class|FM Status|City|State|Country|File Number (Application, Construction Permit or License) or Docket Number (Rulemaking)|Effective Radiated Power -- horizontally polarized  (maximum)|Effective Radiated Power -- vertically polarized  (maximum)|Antenna Height Above Average Terrain (HAAT) -- horizontal polarization|Antenna Height Above Average Terrain (HAAT) -- vertical polarization|Facility ID Number (unique to each station)|N (North) or S (South) Latitude|Degrees Latitude|Minutes Latitude|Seconds Latitude|W (West) or (E) East Longitude|Degrees Longitude|Minutes Longitude|Seconds Longitude|Licensee or Permittee|Kilometers distant (radius) from entered latitude, longitude|Miles distant (radius) from entered latitude, longitude|Azimuth, looking from center Lat, Lon to this record's Lat, Lon|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Horizontally Polarized - meters|Antenna Radiation Center Above Mean Sea Level (RCAMSL) - Vertically Polarized - meters|Directional Antenna ID Number|Directional Antenna Pattern Rotation (degrees)|Antenna Structure Registration Number|Height of antenna radiation center above ground level (maximum) (physical center of the antenna)|Application ID number (from CDBS database)

|WRAS        |88.5  MHz |FM |203 |ND  |-                   |C1 |-  |LIC    |ATLANTA                  |GA |US |BLED   -19870417KD  |100.   kW |100.   kW |133.0   |133.0   |23959      |N |33 |41 |4.00  |W |84  |17 |23.00 |GEORGIA STATE UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |401.   m|401.0  m|-         |-       |-       |168.   m|100569    |
|WVDA        |88.5  MHz |FM |203 |ND  |-                   |C3 |-  |LIC    |VALDOSTA                 |GA |US |BLED   -20050929AIK |0.     kW |18.5   kW |0.0     |66.0    |120609     |N |30 |47 |50.00 |W |83  |1  |1.00  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|113.   m|-         |-       |1235477 |70.    m|1088359   |
|WBOJ        |88.5  MHz |FM |203 |DA  |-                   |C2 |-  |LIC    |LUMPKIN                  |GA |US |BLED   -20080326AHV |23.    kW |23.    kW |164.0   |164.0   |88005      |N |31 |59 |19.00 |W |84  |55 |59.00 |88.5 THE TRUTH, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |278.   m|278.0  m|80738     |0.      |1020134 |111.   m|1239511   |
|WVDA        |88.5  MHz |FM |203 |DA  |-                   |C2 |-  |CP     |VALDOSTA                 |GA |US |BPED   -20091020ABT |0.001  kW |33.    kW |118.0   |118.0   |120609     |N |30 |47 |50.00 |W |83  |1  |1.00  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |166.   m|166.0  m|96393     |0.      |1235477 |123.   m|1339165   |
|WRAS        |88.5  MHz |FM |203 |DA  |-                   |C1 |-  |CP     |ATLANTA                  |GA |US |BPED   -20110318AFM |100.   kW |100.   kW |164.0   |164.0   |23959      |N |33 |45 |33.00 |W |84  |20 |5.00  |GEORGIA STATE UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |445.   m|445.0  m|104461    |0.      |1028278 |143.   m|1412370   |
|WSLT        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |STATESBORO               |GA |US |BLED   -20110323AAP |6.     kW |6.     kW |60.0    |60.0    |173412     |N |32 |38 |9.00  |W |81  |41 |36.00 |SALT AND LIGHT COMMUNICATIONS, INC.                                         |   0.00 km |   0.00 mi |  0.00 deg |111.   m|111.0  m|97272     |0.      |-       |44.    m|1421504   |
|WVDA        |88.5  MHz |FM |203 |DA  |-                   |C2 |-  |APP    |VALDOSTA                 |GA |US |BPED   -20131223ACZ |0.001  kW |33.    kW |118.0   |118.0   |120609     |N |30 |47 |50.00 |W |83  |1  |1.00  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |166.   m|166.0  m|117479    |0.      |1235477 |123.   m|1619725   |
|WMOC        |88.7  MHz |FM |204 |ND  |-                   |C2 |-  |LIC    |LUMBER CITY              |GA |US |BLED   -19970818KA  |50.    kW |50.    kW |64.0    |64.0    |22871      |N |31 |55 |48.00 |W |82  |41 |6.00  |FULL GOSPEL CHURCH OF GOD WRITTEN                                           |   0.00 km |   0.00 mi |  0.00 deg |113.   m|113.0  m|-         |-       |1037697 |68.    m|252234    |
|WJDS        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |SPARTA                   |GA |US |BLED   -20001115AAE |0.     kW |2.     kW |0.0     |41.0    |92979      |N |33 |18 |48.00 |W |83  |0  |5.00  |AUGUSTA RADIO FELLOWSHIP INSTITUTE, INC                                     |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|194.   m|-         |-       |1065286 |42.    m|534476    |
|WEYY        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |TALLAPOOSA               |GA |US |BLED   -20120507ABF |0.25   kW |0.25   kW |30.0    |30.0    |169466     |N |33 |44 |42.60 |W |85  |17 |16.20 |BARNES EVANGELISTIC MINISTRIES                                              |   0.00 km |   0.00 mi |  0.00 deg |366.   m|366.0  m|-         |-       |-       |18.    m|1498921   |
